id_sucursal,tipo,fecha,ingresos,egresos,saldo
3,pagadora,2024-01-26,7650,14220,104933
4,captadora,2024-01-26,14220,6540,156672
5,pagadora,2024-01-26,6540,10980,69093
1,captadora,2024-01-27,14220,9870,117262
2,pagadora,2024-01-27,9870,13210,1976
3,pagadora,2024-01-27,13210,8760,109323
4,captadora,2024-01-27,8760,10980,151132
5,pagadora,2024-01-27,10980,7650,77803
1,captadora,2024-01-28,10980,6540,120682
2,pagadora,2024-01-28,6540,14220,-4564
3,pagadora,2024-01-28,14220,9870,110963
4,captadora,2024-01-28,9870,8760,154242
5,pagadora,2024-01-28,8760,13210,74253
1,captadora,2024-01-29,8760,10980,119362
2,pagadora,2024-01-29,10980,7650,1706
3,pagadora,2024-01-29,7650,14220,109313
4,captadora,2024-01-29,14220,6540,163812
5,pagadora,2024-01-29,6540,10980,69813
1,captadora,2024-01-30,14220,9870,123712
2,pagadora,2024-01-30,9870,13210,-1444
3,pagadora,2024-01-30,13210,8760,114723
4,captadora,2024-01-30,8760,10980,157272
5,pagadora,2024-01-30,10980,7650,78523
1,captadora,2024-01-31,10980,6540,127132
2,pagadora,2024-01-31,6540,14220,-7124
3,pagadora,2024-01-31,14220,9870,115863
4,captadora,2024-01-31,9870,8760,160382
5,pagadora,2024-01-31,8760,13210,74973
1,captadora,2024-02-01,8760,10980,125812
2,pagadora,2024-02-01,10980,7650,-334
3,pagadora,2024-02-01,7650,14220,115313
4,captadora,2024-02-01,14220,6540,169862
5,pagadora,2024-02-01,6540,10980,70533
1,captadora,2024-02-02,14220,9870,130162
2,pagadora,2024-02-02,9870,13210,-3374
3,pagadora,2024-02-02,13210,8760,120723
4,captadora,2024-02-02,8760,10980,163892
5,pagadora,2024-02-02,10980,7650,79243
1,captadora,2024-02-03,10980,6540,133582
2,pagadora,2024-02-03,6540,14220,-8534
3,pagadora,2024-02-03,14220,9870,121863
4,captadora,2024-02-03,9870,8760,167402
5,pagadora,2024-02-03,8760,13210,76003
1,captadora,2024-02-04,8760,10980,132262
2,pagadora,2024-02-04,10980,7650,-1754
3,pagadora,2024-02-04,7650,14220,120453
4,captadora,2024-02-04,14220,6540,176972
5,pagadora,2024-02-04,6540,10980,71163
1,captadora,2024-02-05,14220,9870,136612
2,pagadora,2024-02-05,9870,13210,-4784
3,pagadora,2024-02-05,13210,8760,125863
4,captadora,2024-02-05,8760,10980,170982
5,pagadora,2024-02-05,10980,7650,79873
1,captadora,2024-02-06,10980,6540,140032
2,pagadora,2024-02-06,6540,14220,-9944
3,pagadora,2024-02-06,14220,9870,127003
4,captadora,2024-02-06,9870,8760,174492
5,pagadora,2024-02-06,8760,13210,76633
1,captadora,2024-02-07,8760,10980,138712
2,pagadora,2024-02-07,10980,7650,-3164
3,pagadora,2024-02-07,7650,14220,125593
4,captadora,2024-02-07,14220,6540,183132
5,pagadora,2024-02-07,6540,10980,71793
1,captadora,2024-02-08,14220,9870,143062
2,pagadora,2024-02-08,9870,13210,-6194
3,pagadora,2024-02-08,13210,8760,131003
4,captadora,2024-02-08,8760,10980,177342
5,pagadora,2024-02-08,10980,7650,80503
1,captadora,2024-02-09,10980,6540,146482
2,pagadora,2024-02-09,6540,14220,-11744
3,pagadora,2024-02-09,14220,9870,132143
4,captadora,2024-02-09,9870,8760,180852
5,pagadora,2024-02-09,8760,13210,77293
1,captadora,2024-02-10,8760,10980,145162
2,pagadora,2024-02-10,10980,7650,-4964
3,pagadora,2024-02-10,7650,14220,130733
4,captadora,2024-02-10,14220,6540,189492
5,pagadora,2024-02-10,6540,10980,72453
1,captadora,2024-02-11,14220,9870,149512
2,pagadora,2024-02-11,9870,13210,-7984
3,pagadora,2024-02-11,13210,8760,136173
4,captadora,2024-02-11,8760,10980,184242
5,pagadora,2024-02-11,10980,7650,81193
1,captadora,2024-02-12,10980,6540,152932
2,pagadora,2024-02-12,6540,14220,-13144
3,pagadora,2024-02-12,14220,9870,137313
4,captadora,2024-02-12,9870,8760,187872
5,pagadora,2024-02-12,8760,13210,77983
1,captadora,2024-02-13,8760,10980,151612
2,pagadora,2024-02-13,10980,7650,-6364
3,pagadora,2024-02-13,7650,14220,135903
4,captadora,2024-02-13,14220,6540,196512
5,pagadora,2024-02-13,6540,10980,73173
1,captadora,2024-02-14,14220,9870,155962
2,pagadora,2024-02-14,9870,13210,-9394
3,pagadora,2024-02-14,13210,8760,141273
4,captadora,2024-02-14,8760,10980,191622
5,pagadora,2024-02-14,10980,7650,81883
1,captadora,2024-02-15,10980,6540,159382
2,pagadora,2024-02-15,6540,14220,-14344
3,pagadora,2024-02-15,14220,9870,142443
4,captadora,2024-02-15,9870,8760,195252
5,pagadora,2024-02-15,8760,13210,78673
1,captadora,2024-02-16,8760,10980,158062
2,pagadora,2024-02-16,10980,7650,-7564
3,pagadora,2024-02-16,7650,14220,141033
4,captadora,2024-02-16,14220,6540,202932
5,pagadora,2024-02-16,6540,10980,73893
1,captadora,2024-02-17,14220,9870,162412
2,pagadora,2024-02-17,9870,13210,-10594
3,pagadora,2024-02-17,13210,8760,146403
4,captadora,2024-02-17,8760,10980,198102
5,pagadora,2024-02-17,10980,7650,82573
1,captadora,2024-02-18,10980,6540,165832
2,pagadora,2024-02-18,6540,14220,-15544
3,pagadora,2024-02-18,14220,9870,147573
4,captadora,2024-02-18,9870,8760,203712
5,pagadora,2024-02-18,8760,13210,79363
1,captadora,2024-02-19,8760,10980,164512
2,pagadora,2024-02-19,10980,7650,-8764
3,pagadora,2024-02-19,7650,14220,146243
4,captadora,2024-02-19,14220,6540,209382
5,pagadora,2024-02-19,6540,10980,74583
1,captadora,2024-02-20,14220,9870,168862
2,pagadora,2024-02-20,9870,13210,-11794
3,pagadora,2024-02-20,13210,8760,151533
4,captadora,2024-02-20,8760,10980,204762
5,pagadora,2024-02-20,10980,7650,83263
1,captadora,2024-02-21,10980,6540,172282
2,pagadora,2024-02-21,6540,14220,-16744
3,pagadora,2024-02-21,14220,9870,152703
4,captadora,2024-02-21,9870,8760,210372
5,pagadora,2024-02-21,8760,13210,80053
1,captadora,2024-02-22,8760,10980,171022
2,pagadora,2024-02-22,10980,7650,-9964
3,pagadora,2024-02-22,7650,14220,151373
4,captadora,2024-02-22,14220,6540,215952
5,pagadora,2024-02-22,6540,10980,75393
1,captadora,2024-02-23,14220,9870,175372
2,pagadora,2024-02-23,9870,13210,-12994
3,pagadora,2024-02-23,13210,8760,156663
4,captadora,2024-02-23,8760,10980,211842
5,pagadora,2024-02-23,10980,7650,83953
1,captadora,2024-02-24,10980,6540,178792
2,pagadora,2024-02-24,6540,14220,-17944
3,pagadora,2024-02-24,14220,9870,157833
4,captadora,2024-02-24,9870,8760,217632
5,pagadora,2024-02-24,8760,13210,80713
1,captadora,2024-02-25,8760,10980,177412
2,pagadora,2024-02-25,10980,7650,-11164
3,pagadora,2024-02-25,7650,14220,156503
4,captadora,2024-02-25,14220,6540,222522
5,pagadora,2024-02-25,6540,10980,76053
1,captadora,2024-02-26,14220,9870,181762
2,pagadora,2024-02-26,9870,13210,-14194
3,pagadora,2024-02-26,13210,8760,161793
4,captadora,2024-02-26,8760,10980,218202
5,pagadora,2024-02-26,10980,7650,84643
1,captadora,2024-02-27,10980,6540,185182
2,pagadora,2024-02-27,6540,14220,-19144
3,pagadora,2024-02-27,14220,9870,162933
4,captadora,2024-02-27,9870,8760,223992
5,pagadora,2024-02-27,8760,13210,81403
1,captadora,2024-02-28,8760,10980,183862
2,pagadora,2024-02-28,10980,7650,-12364
3,pagadora,2024-02-28,7650,14220,161603
4,captadora,2024-02-28,14220,6540,229062
5,pagadora,2024-02-28,6540,10980,76743
1,captadora,2024-02-29,14220,9870,188212
2,pagadora,2024-02-29,9870,13210,-15394
3,pagadora,2024-02-29,13210,8760,166923
4,captadora,2024-02-29,8760,10980,225102
5,pagadora,2024-02-29,10980,7650,85333
1,captadora,2024-03-01,10980,6540,191632
2,pagadora,2024-03-01,6540,14220,-20344
3,pagadora,2024-03-01,14220,9870,168063
4,captadora,2024-03-01,9870,8760,230772
5,pagadora,2024-03-01,8760,13210,82093
1,captadora,2024-03-02,8760,10980,190312
2,pagadora,2024-03-02,10980,7650,-13564
3,pagadora,2024-03-02,7650,14220,166733
4,captadora,2024-03-02,14220,6540,235602
5,pagadora,2024-03-02,6540,10980,77433
1,captadora,2024-03-03,14220,9870,194662
2,pagadora,2024-03-03,9870,13210,-16594
3,pagadora,2024-03-03,13210,8760,172023
4,captadora,2024-03-03,8760,10980,232062
5,pagadora,2024-03-03,10980,7650,86023
1,captadora,2024-03-04,10980,6540,198082
2,pagadora,2024-03-04,6540,14220,-21544
3,pagadora,2024-03-04,14220,9870,173163
4,captadora,2024-03-04,9870,8760,237612
5,pagadora,2024-03-04,8760,13210,82783
1,captadora,2024-03-05,8760,10980,196762
2,pagadora,2024-03-05,10980,7650,-14764
3,pagadora,2024-03-05,7650,14220,171833
4,captadora,2024-03-05,14220,6540,242142
5,pagadora,2024-03-05,6540,10980,78123
1,captadora,2024-03-06,14220,9870,201112
2,pagadora,2024-03-06,9870,13210,-17794
3,pagadora,2024-03-06,13210,8760,177153
4,captadora,2024-03-06,8760,10980,238932
5,pagadora,2024-03-06,10980,7650,86713
1,captadora,2024-03-07,10980,6540,204532
2,pagadora,2024-03-07,6540,14220,-22744
3,pagadora,2024-03-07,14220,9870,178293
4,captadora,2024-03-07,9870,8760,244302
5,pagadora,2024-03-07,8760,13210,83473
1,captadora,2024-03-08,8760,10980,203212
2,pagadora,2024-03-08,10980,7650,-15964
3,pagadora,2024-03-08,7650,14220,176963
4,captadora,2024-03-08,14220,6540,248682
5,pagadora,2024-03-08,6540,10980,78813
1,captadora,2024-03-09,14220,9870,207562
2,pagadora,2024-03-09,9870,13210,-18994
3,pagadora,2024-03-09,13210,8760,182283
4,captadora,2024-03-09,8760,10980,245832
5,pagadora,2024-03-09,10980,7650,87403
1,captadora,2024-03-10,10980,6540,210982
2,pagadora,2024-03-10,6540,14220,-23944
3,pagadora,2024-03-10,14220,9870,183423
4,captadora,2024-03-10,9870,8760,251472
5,pagadora,2024-03-10,8760,13210,84163
1,captadora,2024-03-11,8760,10980,209662
2,pagadora,2024-03-11,10980,7650,-17164
3,pagadora,2024-03-11,7650,14220,182093
4,captadora,2024-03-11,14220,6540,255852
5,pagadora,2024-03-11,6540,10980,79503
1,captadora,2024-03-12,14220,9870,214012
2,pagadora,2024-03-12,9870,13210,-20194
3,pagadora,2024-03-12,13210,8760,187413
4,captadora,2024-03-12,8760,10980,252702
5,pagadora,2024-03-12,10980,7650,88093
1,captadora,2024-03-13,10980,6540,217432
2,pagadora,2024-03-13,6540,14220,-25144
3,pagadora,2024-03-13,14220,9870,188553
4,captadora,2024-03-13,9870,8760,258342
5,pagadora,2024-03-13,8760,13210,84853
1,captadora,2024-03-14,8760,10980,216112
2,pagadora,2024-03-14,10980,7650,-18364
3,pagadora,2024-03-14,7650,14220,187223
4,captadora,2024-03-14,14220,6540,262122
5,pagadora,2024-03-14,6540,10980,80193
1,captadora,2024-03-15,14220,9870,220462
2,pagadora,2024-03-15,9870,13210,-21394
3,pagadora,2024-03-15,13210,8760,192543
4,captadora,2024-03-15,8760,10980,259572
5,pagadora,2024-03-15,10980,7650,88783
1,captadora,2024-03-16,10980,6540,223882
2,pagadora,2024-03-16,6540,14220,-26344
3,pagadora,2024-03-16,14220,9870,193683
4,captadora,2024-03-16,9870,8760,265242
5,pagadora,2024-03-16,8760,13210,85543
1,captadora,2024-03-17,8760,10980,222562
2,pagadora,2024-03-17,10980,7650,-19564
3,pagadora,2024-03-17,7650,14220,192353
4,captadora,2024-03-17,14220,6540,268812
5,pagadora,2024-03-17,6540,10980,80883
1,captadora,2024-03-18,14220,9870,226912
